(67.385, 128.424, 21.773)
(236.506, 113.390, 21.773)
(391.430, 110.097, 91.316)
(573.930, 60.054, 166.316)
(725.876, -9.899, 253.316)
(814.832, -161.630, 253.316)
(863.709, -320.975, 253.316)
(919.280, -463.160, 278.782)
(944.646, -643.704, 281.296)
(950.588, -849.878, 281.296)
(947.607, -1020.220, 278.933)
(978.916, -1193.430, 323.301)
(995.553, -1362.113, 345.301)
(993.222, -1538.248, 374.301)
(1044.629, -1721.803, 376.707)
(1073.794, -1877.435, 380.707)
(1102.542, -2024.432, 380.707)
(1132.823, -2179.269, 380.707)
(1155.984, -2392.667, 369.940)
(1182.634, -2572.075, 388.940)
(1204.094, -2765.544, 388.940)
(1133.398, -2998.009, 388.940)
(1014.860, -3176.734, 388.940)
(857.226, -3262.437, 388.940)
(621.400, -3292.238, 388.940)
(402.558, -3314.138, 388.940)
(233.969, -3391.287, 443.038)
(99.735, -3448.478, 499.038)
(-8.179, -3514.325, 554.038)
(-149.444, -3580.873, 617.038)
(-310.555, -3634.781, 652.296)
(-473.494, -3679.557, 673.296)
(-605.326, -3719.297, 701.296)
(-741.383, -3758.692, 730.296)
(-888.095, -3781.162, 757.296)
(-1026.955, -3789.731, 762.215)
(-1183.967, -3795.473, 762.215)
(-1346.867, -3801.430, 762.215)
(-1487.264, -3844.188, 758.559)
(-1681.366, -3901.935, 757.866)
(-1853.544, -3957.406, 722.321)
(-1976.812, -3991.289, 718.457)
(-2114.882, -4019.716, 668.320)
(-2286.107, -4036.417, 631.117)
(-2481.235, -4053.304, 608.060)
(-2616.980, -3994.028, 608.060)
(-2786.920, -3913.663, 608.060)
(-2876.852, -3776.702, 608.060)
(-2955.295, -3622.598, 612.132)
(-3027.712, -3463.137, 612.132)
(-3085.143, -3332.064, 612.132)
(-3135.147, -3217.395, 612.132)
(-3189.981, -3091.715, 612.132)
(-3242.484, -2971.571, 612.132)
(-3323.605, -2802.942, 630.256)
(-3395.737, -2646.669, 630.256)
(-3454.666, -2474.583, 630.256)
(-3503.567, -2314.759, 630.256)
(-3547.772, -2170.165, 630.256)
